rank,coin,symbol,market_cap,price,supply,volume_24h,pct_1h,pct_24h,pct_7d
98,Horizen,ZEN,125076612.0,11.79,10607594.0,26445048.0,-0.006500000000000001,0.018500000000000003,0.0507
99,ZB Token,ZB,122131961.0,0.2636,463288810.0,13809154.0,0.001,0.0385,0.024700000000000003
100,Verge,XVG,120280609.0,0.007329,16412512543.0,7207497.0,0.0060999999999999995,-0.022400000000000003,0.1003
101,Band Protocol,BAND,112885492.0,5.51,20494033.0,59285788.0,0.0003,0.0315,-0.0192
102,Chiliz,CHZ,113503347.0,0.0209,5429628749.0,67165239.0,0.0036,-0.023399999999999997,0.09369999999999999
103,Enjin Coin,ENJ,111954202.0,0.136,823130411.0,11594101.0,-0.0018,0.0409,-0.0353
104,Gnosis,GNO,109397270.0,72.71,1504589.0,139829.0,0.0007000000000000001,-0.037000000000000005,0.10800000000000001
105,Status,SNT,108608369.0,0.03129,3470483788.0,10422115.0,0.008199999999999999,0.011899999999999999,0.0183
106,RSK Infrastructure Framework,RIF,106602121.0,0.1573,677726677.0,2047138.0,-0.0073,-0.0216,0.1317
107,Holo,HOT,107092622.0,0.0006403,167249427985.0,11244282.0,0.0044,0.0634,0.08410000000000001
108,Numeraire,NMR,102481579.0,22.95,4465650.0,3871508.0,-0.0077,0.024700000000000003,-0.051
109,Ravencoin,RVN,101448235.0,0.01297,7819020000.0,8381605.0,0.0040999999999999995,0.0323,-0.0254
110,Balancer,BAL,96748939.0,13.93,6943831.0,41794353.0,0.0031,0.0155,0.1562
111,Curve DAO Token,CRV,96647229.0,0.6223,155297961.0,64874778.0,-0.0127,-0.0095,0.2743
112,Nervos Network,CKB,88668290.0,0.004035,21973976376.0,4267880.0,-0.0027,0.061500000000000006,-0.021
113,MonaCoin,MONA,89012218.0,1.35,65729675.0,2559329.0,0.0068000000000000005,0.0095,-0.0424
114,IOST,IOST,88905449.0,0.005802,15324121695.0,23840745.0,0.0068000000000000005,0.023399999999999997,-0.0012
115,Bitcoin Diamond,BCD,87749034.0,0.4705,186492898.0,2420725.0,-0.002,-0.0002,-0.0087
116,Arweave,AR,87380455.0,2.62,33394701.0,4046739.0,-0.0036,-0.0042,0.068
117,Helium,HNT,86615259.0,1.36,63844612.0,358941.0,0.0023,0.0473,0.061900000000000004
118,Matic Network,MATIC,85710293.0,0.01781,4812024448.0,9798566.0,0.0044,0.0101,0.0716
119,Orchid,OXT,84784464.0,0.2307,367584352.0,5657382.0,-0.0004,0.0352,-0.0178
120,Solana,SOL,85785758.0,1.84,46569948.0,25722549.0,0.0196,0.2192,0.27440000000000003
121,DxChain Token,DX,84258666.0,0.001685,50000000000.0,264869.0,0.0063,0.0051,0.1485
122,1inch,1INCH,83376817.0,1.16,721641691.0,85719567.0,0.018500000000000003,-0.15539999999999998,-0.5038
123,Ardor,ARDR,82804201.0,0.08289,998999495.0,20534028.0,-0.0076,0.1461,0.2336
124,Bytom,BTM,76347823.0,0.0546,1398422219.0,10266381.0,0.0017000000000000001,0.0351,-0.0139
125,PAX Gold,PAXG,75961064.0,1928.35,39392.0,2098259.0,-0.0002,-0.0011,0.016
126,Golem,GNT,72173057.0,0.111,649927869.0,1748290.0,-0.0070999999999999995,-0.0053,0.0821
127,Divi,DIVI,68427013.0,0.03299,2074184025.0,232345.0,0.042,0.1631,0.1936
128,Unibright,UBT,68382487.0,0.4596,148799999.0,1297549.0,-0.0086,0.0536,-0.028399999999999998
129,Kleros,PNK,65801324.0,0.11,598279012.0,996630.0,-0.0033,-0.005,-0.0208
130,BitShares,BTS,64524922.0,0.02155,2994830000.0,5560862.0,-0.0032,0.042199999999999994,-0.0555
131,Steem,STEEM,64013389.0,0.1619,395464075.0,2903341.0,-0.004699999999999999,0.032799999999999996,0.0129
132,Storj,STORJ,64027306.0,0.2963,216098645.0,13013702.0,0.0111,0.0139,-0.0146
133,Oasis Network,ROSE,63271369.0,0.04218,1500000000.0,3357315.0,0.0018,0.0144,-0.0799
134,Everipedia,IQ,64725903.0,0.006502,9954740103.0,265329012.0,-0.0143,1.1985,1.6638
135,Injective Protocol,INJ,60940594.0,4.07,14975179.0,10472821.0,0.0165,-0.0008,-0.0028000000000000004
136,DFI.Money,YFII,61167263.0,1584.81,38596.0,95283796.0,0.004,-0.0143,0.07980000000000001
137,Kava.io,KAVA,61198628.0,1.31,46876230.0,13012558.0,-0.0022,0.0079,-0.0337
138,Komodo,KMD,60570972.0,0.4907,123442247.0,1402669.0,-0.0371,-0.033,-0.0793
139,iExec RLC,RLC,60043128.0,0.7499,80070793.0,7914875.0,0.0052,0.026099999999999998,-0.0408
140,Velas,VLX,59864021.0,0.02842,2106296362.0,536381.0,-0.0036,-0.0363,0.2426
141,Swipe,SXP,60162288.0,0.7168,83936975.0,31108134.0,0.0027,-0.0334,0.0072
142,LBRY Credits,LBC,61596734.0,0.1193,516488055.0,174510787.0,0.0519,0.43579999999999997,1.4313999999999998
143,Syntropy,NOIA,58688585.0,0.1826,321395830.0,783628.0,-0.009899999999999999,-0.0587,-0.20489999999999997
144,aelf,ELF,58368493.0,0.1072,544480200.0,16948129.0,0.006999999999999999,0.046799999999999994,0.0473
145,Ankr,ANKR,58482033.0,0.009002,6496232711.0,9909902.0,0.0139,0.069,0.0326
146,Civic,CVC,57555906.0,0.0859,670000000.0,9846254.0,-0.005,0.0154,-0.058499999999999996
147,Serum,SRM,56628443.0,1.13,50000000.0,39932920.0,0.0097,0.08900000000000001,0.0967
148,KuCoin Shares,KCS,55145533.0,0.6883,80118638.0,4657298.0,0.0022,-0.0088,-0.0546
149,Utrust,UTK,55123268.0,0.1225,449981000.0,2115891.0,0.0078000000000000005,0.017,0.056100000000000004
150,Polymath,POLY,55210911.0,0.09936,555670901.0,55808860.0,-0.0089,0.2288,0.436
